Image,Label
image_figures_0.png,"""filing cabinet"","
image_figures_1.png,"""rocking chair"","
image_figures_2.png,"""electric fan"","
image_figures_3.png,"""rocking chair"","
image_figures_4.png,"""rocking chair"","
image_figures_5.png,"""rocking chair"","
image_figures_6.png,"""chain"","
image_figures_7.png,"""horse-drawn vehicle"","
image_figures_8.png,"""rapeseed"","
image_figures_9.png,"""rocking chair"","
image_figures_10.png,"""rocking chair"","
image_figures_11.png,"""rocking chair"","
image_figures_12.png,"""chain"","
image_figures_13.png,"""rocking chair"","
image_figures_14.png,"""chain"","
image_figures_15.png,"""chain"","
image_figures_16.png,"""chain"","
image_figures_17.png,"""rocking chair"","
image_figures_18.png,"""rocking chair"","
image_figures_19.png,"""rocking chair"","
image_figures_20.png,"""rocking chair"","
image_figures_21.png,"""water jug"","
image_figures_22.png,"""horse-drawn vehicle"","
image_figures_23.png,"""rocking chair"","
image_figures_24.png,"""rocking chair"","
image_figures_25.png,"""horse-drawn vehicle"","
image_figures_26.png,"""ambulance"","
image_figures_27.png,"""chain"","
image_figures_28.png,"""rocking chair"","
image_figures_29.png,"""rocking chair"","
image_figures_30.png,"""chain"","
image_figures_31.png,"""dishwasher"","
image_figures_32.png,"""rocking chair"","
image_figures_33.png,"""rapeseed"","
image_figures_34.png,"""pelican"","
image_figures_35.png,"""cock"","
image_figures_36.png,"""rocking chair"","
image_figures_37.png,"""chain"","
image_figures_38.png,"""water jug"","
image_figures_39.png,"""chain"","
image_figures_40.png,"""chain"","
image_figures_41.png,"""chain"","
image_figures_42.png,"""chain"","
image_figures_43.png,"""rocking chair"","
image_figures_44.png,"""bell-cot"","
image_figures_45.png,"""rocking chair"","
image_figures_46.png,"""cock"","
image_figures_47.png,"""water jug"","
image_figures_48.png,"""chain"","
image_figures_49.png,"""partridge"","
image_figures_50.png,"""chain"","
image_figures_51.png,"""rocking chair"","
image_figures_52.png,"""cock"","
image_figures_53.png,"""chain"","
image_figures_54.png,"""solar thermal collector"""
image_figures_55.png,"""rocking chair"","
image_figures_56.png,"""rocking chair"","
image_figures_57.png,"""chain"","
image_figures_58.png,"""chain"","
image_figures_59.png,"""horse-drawn vehicle"","
image_figures_60.png,"""wall clock"","
image_figures_61.png,"""chain"","
image_figures_62.png,"""rocking chair"","
image_figures_63.png,"""horse-drawn vehicle"","
image_figures_64.png,"""horse-drawn vehicle"","
image_figures_65.png,"""chain"","
image_figures_66.png,"""rocking chair"","
image_figures_67.png,"""rocking chair"","
image_figures_68.png,"""pole"","
image_figures_69.png,"""chain"","
image_figures_70.png,"""ambulance"","
image_figures_71.png,"""rapeseed"","
image_figures_72.png,"""chain"","
image_figures_73.png,"""rocking chair"","
image_figures_74.png,"""chain"","
image_figures_75.png,"""chain"","
image_figures_76.png,"""rocking chair"","
image_figures_77.png,"""cock"","
image_figures_78.png,"""horse-drawn vehicle"","
image_figures_79.png,"""chain"","
image_figures_80.png,"""chain"","
image_figures_81.png,"""spotlight"","
image_figures_82.png,"""rocking chair"","
image_figures_83.png,"""chain"","
image_figures_84.png,"""rocking chair"","
image_figures_85.png,"""chain"","
image_figures_86.png,"""water jug"","
image_figures_87.png,"""electric fan"","
image_figures_88.png,"""rocking chair"","
image_figures_89.png,"""rapeseed"","
image_figures_90.png,"""chain"","
image_figures_91.png,"""rapeseed"","
image_figures_92.png,"""rocking chair"","
image_figures_93.png,"""horse-drawn vehicle"","
image_figures_94.png,"""rocking chair"","
image_figures_95.png,"""chain"","
image_figures_96.png,"""chain"","
image_figures_97.png,"""rapeseed"","
image_figures_98.png,"""solar thermal collector"""
image_figures_99.png,"""chain"","
image_figures_100.png,"""rocking chair"","
image_figures_101.png,"""lens cap"","
image_figures_102.png,"""rocking chair"","
image_figures_103.png,"""rocking chair"","
image_figures_104.png,"""rocking chair"","
image_figures_105.png,"""cock"","
image_figures_106.png,"""lens cap"","
image_figures_107.png,"""steel drum"","
image_figures_108.png,"""rapeseed"","
image_figures_109.png,"""honeycomb"","
image_figures_110.png,"""chain"","
image_figures_111.png,"""recreational vehicle"","
image_figures_112.png,"""rocking chair"","
image_figures_113.png,"""cock"","
image_figures_114.png,"""cock"","
image_figures_115.png,"""cock"","
image_figures_116.png,"""horse-drawn vehicle"","
image_figures_117.png,"""rocking chair"","
